Date,Open,High,Low,Close,Adj Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,trend_stc,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,others_dr,others_dlr,others_cr
2020-09-23,111.62000274658203,112.11000061035156,106.7699966430664,107.12000274658203,106.43543243408203,150718700,-130961237.18269815,150718700,,,,,,-27205148.125422705,1000.0,,0.0,,,,,,0.0,0.0,,114.00667063395183,103.32666269938152,,0.35518138848209885,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,109.43999862670898,131.20322346269037,127.39035546826751,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,-18.040708613437296,,0.0
2020-09-24,105.16999816894531,110.25,105.0,108.22000122070312,107.52840423583984,167743300,-92939344.51040462,318462000,,,,-5.680550454308558,,-25468191.906394556,1000.0,,0.0,,,,,,0.0,0.0,,113.54000218709311,102.94999821980795,,0.4976393792840274,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,108.55500030517578,131.20322346269037,127.39035546826751,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,1.0268842848365045,1.0216476471265779,1.0268842848365045
2020-09-25,108.43000030517578,112.44000244140625,107.66999816894531,112.27999877929688,111.56243896484375,149981400,46980188.926146716,468443400,,,,7.72836620925652,,7349253.95328131,1037.5161477804259,,0.0,,,,,,0.0,0.0,,114.21555836995442,103.97555287679036,,0.8109806101227512,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,108.72000122070312,131.20322346269037,127.39035546826751,,,,,112.11000061035156,0.0,1.0,,,,,,,,,,,,,,,,,3.751614778042578,3.6829537127308853,4.817023805462406
2020-09-28,115.01000213623047,115.31999969482422,112.77999877929688,114.95999908447266,114.22531127929688,137672400,145627289.58425686,606115800,,,,7.370613822754645,,8912813.412187368,1062.2805191992563,,0.0,,,,,,0.0,0.0,,114.88500213623047,105.93499755859375,,1.0083795430037636,1.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,110.15999984741211,131.20322346269037,127.39035546826751,,,,107.66999816894531,,1.0,0.0,,,,,,,,,,,,,,,,,2.3868902158110217,2.358849318516487,7.318891091179314
2020-09-29,114.55000305175781,115.30999755859375,113.56999969482422,114.08999633789062,113.36087799072266,99382200,105645634.21320036,506733600,,,,0.6828165454776632,,2533977.1139313085,1054.2413144610514,,0.0,,,,,,0.0,0.0,,115.12066752115886,107.26466471354168,,0.8688046315017989,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,110.15999984741211,131.20322346269037,127.39035546826751,,,,107.66999816894531,,0.0,0.0,,,,,,,,,,,,,,,,,-0.7567873638749334,-0.7596655297040122,6.506715284350562
2020-09-30,113.79000091552734,117.26000213623047,113.62000274658203,115.80999755859375,115.06989288330078,142675200,134650654.10077158,649408800,,,,2.551258575522695,,1398834.9177978956,1054.2413144610514,,0.0,,,,,,0.0,0.0,,115.80111185709636,108.04110972086589,,1.0011450643107307,1.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,111.13000106811523,131.20322346269037,127.39035546826751,,,,107.82299819946289,,0.0,0.0,,,,,,,,,,,,,,,,,1.507582852057543,1.4963317605299231,8.112392260267187
2020-10-01,117.63999938964844,117.72000122070312,115.83000183105469,116.79000091552734,116.04362487792969,116120400,136493760.6491355,765529200,,,,2.172871825135414,,3133576.8830791693,1063.1624788593772,,0.0,,,,,,0.0,0.0,,116.21095312209356,109.01952289399647,,1.080519142238415,1.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,111.36000061035156,131.20322346269037,127.39035546826751,,,,108.20047835693359,,0.0,0.0,,,,,,,,,,,,,,,,,0.8462165422616241,0.8426562014413719,9.027257207808326
2020-10-02,112.88999938964844,115.37000274658203,112.22000122070312,113.0199966430664,112.29772186279297,144712000,65285812.38367145,620817200,,,,-6.486679131767148,,-3688701.8782352833,1063.1624788593772,,0.0,,,,,,0.0,0.0,,116.27041753133138,109.19041570027669,,0.5409011232161273,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,111.36000061035156,131.20322346269037,127.39035546826751,,,,108.77164972875975,,0.0,0.0,,,,,,,,,,,,,,,,,-3.2280197302059555,-3.2812693629987955,5.507835833837893
2020-10-05,113.91000366210938,116.6500015258789,113.55000305175781,116.5,115.75547790527344,106243800,161247844.66783947,727061000,,,,3.8077506214691903,,-1399974.7040911051,1095.8983583965269,,0.0,,,,,,0.0,0.0,,116.53666743525751,109.55444392451534,,0.9947484586820946,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,111.36000061035156,,,111.36000061035156,131.20322346269037,127.39035546826751,,,,109.30855081827636,,0.0,0.0,,,,,,,,,,,,,,,,,3.079104105730912,3.0326508506179017,8.756531938865407
2020-10-06,115.69999694824219,116.12000274658203,112.25,113.16000366210938,112.43682861328125,161498200,75699954.29171257,565562800,,,,-2.192628807142057,,-1358714.865728578,1095.8983583965269,,3.81400146484375,,,,,,0.0,0.0,113.12533365885417,116.65433451334636,109.59633280436199,6.239099130764812,0.5049121556900543,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,111.36000061035156,,,111.36000061035156,131.20322346269037,127.39035546826751,,,,109.81323784242197,,0.0,0.0,,,,,,,,,,,,113.16000366210938,,,,,-2.8669496462580435,-2.9088494210165017,5.638536931161586
2020-10-07,114.62000274658203,115.55000305175781,114.12999725341797,115.08000183105469,114.34455871582031,96849000,108437739.70780838,662411800,,,,0.9603631059763984,,-2986824.489250864,1114.4925858035383,,3.6716012573242187,,,,,,0.0,0.0,113.75066706339518,116.88766810099283,110.61366602579753,5.515573875007423,0.7118798737595462,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,112.69499969482422,,,111.36000061035156,131.20322346269037,127.39035546826751,,,,110.28764364511883,,0.0,0.0,,,,,,,,,,,,113.29473100199412,,,,,1.6967109462795227,1.682477579890218,7.4309175507621505
2020-10-08,116.25,116.4000015258789,114.58999633789062,114.97000122070312,114.23526000976562,83477200,60012089.630460866,578934600,,,,1.4202095765710097,,1563454.894022185,1113.4272845981156,,3.485441650390625,,,,,,0.0,0.0,114.50033365885417,117.29333521525064,111.70733210245768,4.878591122219837,0.5840793591348601,0.0,0.0,,,,,,,,,,113.5,,113.36307691493118,,0.0,0.0,0.0,,,,,,,,,,,114.97000122070312,,,111.36000061035156,131.20322346269037,127.39035546826751,,,,110.7335850996539,,0.0,0.0,,,,,,,,,,,,113.39265807312634,,,,,-0.09558620837792908,-0.0956319211264045,7.328228410049742
2020-10-09,115.27999877929688,117.0,114.91999816894531,116.97000122070312,116.22247314453125,100506900,157619872.6528722,679441500,,,,0.9623231527621702,,1668609.4829722776,1113.4272845981156,,3.344897668457031,,,,,,0.0,0.0,115.05033365885417,117.57433497111003,112.52633234659831,4.387647096687263,0.8802825998004777,0.0,0.0,,,,,,,,,,114.32083320617676,,113.9179883465884,,0.0,0.0,0.0,,,,,,,,,,,114.97000122070312,,,111.36000061035156,131.20322346269037,127.39035546826751,,,,111.15277006691684,,0.0,0.0,,,,,,,,,,,,113.53551450728801,9.195293336038853,,,,1.7395842208966172,1.7246266715423175,9.195293336038857
2020-10-12,120.05999755859375,125.18000030517578,119.27999877929688,124.4000015258789,123.60499572753906,240226800,334329193.9090064,919668300,,316215426.58858985,68.01726531625312,15.399202864987215,,17007743.702629905,1113.4272845981156,114.50654446260002,3.831407810058593,,,,,,0.0,0.0,115.91033376057942,118.77033513387043,113.0503323872884,4.934851415747862,1.9842069386019907,1.0,0.0,,,,,,1.3439620601843567,,,,115.6691665649414,,115.53060575878695,,0.0,0.0,0.0,,,,,,,,,,,118.70000076293945,,,115.09000015258789,131.20322346269037,127.39035546826751,,,,111.54680393614402,,0.0,0.0,,77.06827832538113,,,,,,96.1347930252666,,-3.8652069747333964,,114.42658507690082,14.951025801763207,,,,6.35205627736688,6.158469047233428,16.131439820979885
2020-10-13,125.2699966430664,125.38999938964844,119.6500015258789,121.0999984741211,120.3260726928711,262330500,204534779.6214313,657337800,,147371586.99462664,58.668990885943664,0.6345448339473151,2.095033052903034,8300407.124569479,1113.4272845981156,115.928936874201,4.022266815429687,,,,,,0.0,0.0,116.68266728719075,119.94266866048179,113.42266591389973,5.5878074251888545,1.1775044978694233,1.0,0.0,,,,,,1.5194990272206468,,,,116.40416653951009,,116.38743540729989,,0.0,0.0,0.0,1.1446351832536057,0.7327927202100493,0.41184246304355643,,,,,-104.16718801258642,-104.16718801258642,0.0,118.80500030517578,,,115.19499969482422,131.20322346269037,127.39035546826751,,,,112.63745964566655,,0.0,0.0,,67.02916969963385,,,,,,78.96026952455288,,-21.03973047544712,,114.73506385335253,7.8553614096142335,,,,-2.6527355396143704,-2.688555461209585,13.050779844182859
2020-10-14,121.0,123.02999877929688,119.62000274658203,121.19000244140625,120.41551208496094,150712000,192601705.8936511,808049800,,128256314.26932004,58.62074801851041,-2.7037954631655308,2.30765840941325,-6846922.199228699,1114.2548062674803,117.01613989053274,3.9610397371582025,,,,,,0.0,0.0,117.25433400472005,120.4913350423177,114.01733296712239,5.5213328617215165,1.1079189334469701,1.0,0.0,,,,,,1.6686750367619423,,,,116.92333348592122,,117.1262918740855,,0.0,32.80288938440724,11.83779955353668,1.1838250011885996,0.7329555946671452,0.45086940652145435,,,,,-93.55250176699333,-98.85984488978988,5.307343122796553,118.80500030517578,,,115.19499969482422,131.20322346269037,127.39035546826751,,,,113.91271362006474,,0.0,0.0,,67.15483718081798,,,,,,76.29798725219538,83.79768326733829,-23.702012747804613,,114.96111085575394,5.419279233253808,,,,0.0743220218160312,0.07429441667836656,13.13480146944186
2020-10-15,118.72000122070312,121.19999694824219,118.1500015258789,120.70999908447266,119.93856811523438,112559200,268994446.66344565,695490600,,102215584.5374515,52.188876560848826,-4.470978028293638,1.4362766781596672,-333806.6967442894,1109.8415210400428,117.66623685444094,3.8699353056787102,,,,,,0.0,0.0,117.57833379109702,120.93133443196614,114.22533315022785,5.703432822626082,0.9669944370430978,0.0,0.0,,,,,,1.8474161154853697,,,,117.47500038146973,,117.67763144491428,,0.0,30.876701510155502,13.972804486081165,1.1065292933580007,0.8049322561601152,0.30159703719788544,,,,,-84.26786186690636,-93.9958505488287,9.72798868192234,118.81999969482422,,,115.19499969482422,131.20322346269037,127.39035546826751,,,,115.06044219702311,,0.0,0.0,,65.71625998928226,,,,,,64.46468522515696,73.24098066730174,-35.53531477484304,,115.10026708521512,5.802439266433257,,,,-0.396075045188371,-0.39686149971576157,12.686702753397983
2020-10-16,121.27999877929688,121.55000305175781,118.80999755859375,119.0199966430664,118.25936889648438,115393800,171288634.8184167,580096800,,59753957.64308065,45.726600691194086,1.1991161576180531,0.9954554163641964,-2061391.8059356627,1109.8415210400428,118.02922840877899,3.7569423244272455,,,,,,0.0,0.0,118.2040003458659,121.51600138346353,114.89199930826821,5.603873012599773,0.6231878082067892,0.0,0.0,,,,,,2.1792007183039104,,,,117.74250030517578,,117.88414916770691,,0.0,29.903569079337757,13.221682951640231,1.0268456282115954,0.851535444561524,0.17531018365007145,,,,,-75.72607612394549,-89.4284069426079,13.702330818662404,118.81999969482422,,,115.19499969482422,131.20322346269037,127.39035546826751,,,,116.09339791628564,,0.0,0.0,,60.77951345693028,,,,,,51.63247052226312,64.13171433320515,-48.36752947773688,,115.28325439215372,2.771780633920285,,,,-1.4000517390639566,-1.4099449116596219,11.109030611805215
2020-10-19,119.95999908447266,120.41999816894531,115.66000366210938,115.9800033569336,115.23880004882812,120639300,66869748.15224159,459457500,,-1174130.8836111724,45.17296870685841,-8.443670793314302,0.3435634635933417,-4696926.2256990485,1109.8415210400428,118.17598843552086,3.8572475426681145,,,,,,0.0,0.0,118.3826670328776,121.86066767374675,114.90466639200847,5.8758612692907475,0.15459125456866007,0.0,0.0,,,,,,2.824946428448779,,,,117.6750005086263,,117.59120365835716,,0.0,27.1709953968943,18.060661100750693,0.9497989079397157,0.8815865105177171,0.06821239742199858,,,,,-72.24532696432341,-85.991790946951,13.746463982627589,119.7599983215332,,,115.19499969482422,131.20322346269037,127.39035546826751,,,,,125.38999938964844,0.0,1.0,,53.058210935929154,,,,,,28.549754434260333,48.2156367272268,-71.45024556573966,,115.28748224277757,-0.6935504343215225,,,,-2.5541870037600223,-2.5873726619552784,8.271098191914739
